sample_id,split_role,quality_flag,target_token,tok00,tok01,tok02,tok03,tok04,tok05,tok06,tok07
T_em0,train,clean,ha_emission,blue_continuum,bridge_token,center_mark,[MASK],red_continuum,balmer_absorption,ha_emission,sky_residual
T_em1,train,clean,ha_emission,sky_residual,red_continuum,center_mark,[MASK],bridge_token,balmer_absorption,ha_emission,blue_continuum
V_em0,validation,clean,ha_emission,balmer_absorption,red_continuum,center_mark,[MASK],blue_continuum,bridge_token,ha_emission,sky_residual
X_em0,test,clean,ha_emission,bridge_token,sky_residual,center_mark,[MASK],blue_continuum,balmer_absorption,ha_emission,red_continuum
X_em1,test,clean,ha_emission,red_continuum,balmer_absorption,center_mark,[MASK],sky_residual,blue_continuum,ha_emission,bridge_token
T_ab0,train,clean,balmer_absorption,blue_continuum,bridge_token,center_mark,[MASK],red_continuum,ha_emission,balmer_absorption,sky_residual
T_ab1,train,clean,balmer_absorption,ha_emission,red_continuum,center_mark,[MASK],bridge_token,sky_residual,balmer_absorption,blue_continuum
V_ab0,validation,clean,balmer_absorption,sky_residual,red_continuum,center_mark,[MASK],blue_continuum,bridge_token,balmer_absorption,ha_emission
X_ab0,test,clean,balmer_absorption,bridge_token,ha_emission,center_mark,[MASK],blue_continuum,sky_residual,balmer_absorption,red_continuum
X_ab1,test,clean,balmer_absorption,red_continuum,sky_residual,center_mark,[MASK],ha_emission,blue_continuum,balmer_absorption,bridge_token
T_ar0,train,clean,sky_residual,blue_continuum,bridge_token,center_mark,[MASK],red_continuum,ha_emission,sky_residual,balmer_absorption
T_ar1,train,clean,sky_residual,balmer_absorption,red_continuum,center_mark,[MASK],bridge_token,ha_emission,sky_residual,blue_continuum
V_ar0,validation,clean,sky_residual,ha_emission,red_continuum,center_mark,[MASK],blue_continuum,bridge_token,sky_residual,balmer_absorption
X_ar0,test,clean,sky_residual,bridge_token,balmer_absorption,center_mark,[MASK],blue_continuum,ha_emission,sky_residual,red_continuum
X_ar1,test,clean,sky_residual,red_continuum,ha_emission,center_mark,[MASK],balmer_absorption,blue_continuum,sky_residual,bridge_token
R_blend,review,low_snr,ha_emission,blue_continuum,bridge_token,center_mark,[MASK],red_continuum,balmer_absorption,blend_candidate,sky_residual
R_mask,review,double_mask,sky_residual,ha_emission,blue_continuum,center_mark,[MASK],red_continuum,bridge_token,[MASK],balmer_absorption
